scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,Violin1,page30,30,bar29,29,16,4,120,4,464,296250,500,296750,929,2,931,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,929
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,465,296750,500,297250,931,2,933,68,108,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,931
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,466,297250,500,297750,933,2,935,108,148,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,933
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,467,297750,500,298250,935,2,937,148,188,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,935
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,468,298250,500,298750,937,2,939,188,228,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,937
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,469,298750,500,299250,939,2,941,228,268,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,939
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,470,299250,500,299750,941,2,943,268,308,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,941
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,471,299750,500,300250,943,2,945,308,348,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,943
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,472,300250,500,300750,945,2,947,348,388,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,945
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,473,300750,500,301250,947,2,949,388,428,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,947
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,474,301250,500,301750,949,2,951,428,468,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,949
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,475,301750,500,302250,951,2,953,468,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,951
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,476,302250,500,302750,953,2,955,508,548,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,953
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,477,302750,500,303250,955,2,957,548,588,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,955
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,478,303250,500,303750,957,2,959,588,628,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,957
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,479,303750,500,304250,959,2,961,628,668,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,959
Union Rose,Violin1,page30,30,bar30,30,16,4,120,4,480,304250,500,304750,961,2,963,668,708,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Violin1_page30,961
