scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,Cello,page1,1,bar0,0,16,4,80,4,0,0,750,750,1,2,3,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,1
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,1,750,750,1500,3,2,5,68,108,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,3
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,2,1500,750,2250,5,2,7,108,148,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,5
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,3,2250,750,3000,7,2,9,148,188,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,7
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,4,3000,750,3750,9,2,11,188,228,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,9
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,5,3750,750,4500,11,2,13,228,268,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,11
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,6,4500,750,5250,13,2,15,268,308,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,13
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,7,5250,750,6000,15,2,17,308,348,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,15
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,8,6000,750,6750,17,2,19,348,388,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,17
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,9,6750,750,7500,19,2,21,388,428,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,19
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,10,7500,750,8250,21,2,23,428,468,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,21
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,11,8250,750,9000,23,2,25,468,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,23
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,12,9000,750,9750,25,2,27,508,548,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,25
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,13,9750,750,10500,27,2,29,548,588,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,27
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,14,10500,750,11250,29,2,31,588,628,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,29
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,15,11250,750,12000,31,2,33,628,668,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,31
Union Rose,Cello,page1,1,bar1,1,16,4,80,4,16,12000,750,12750,33,2,35,668,708,100,100,0,/Users/slavko/MyHome/Music/scoreExport/rsrc/Union_Rose_Cello_page1,33
